Date,Diagnosis,Mean CBL Pressure (hpa),Wind Direction at max 10 min mean (deg),Highest Gust (kt),Maximum Air Temperature (C),Highest ten minute mean wind speed (kt),Minimum Air Temperature (C),Potential Evapotranspiration (mm),Precipitation Amount (mm),Soil Moisture Deficits (mm),moderately drained Soil Moisture Deficits (mm),poorly drained Soil Moisture Deficits (mm),well drained Mean 10cm soil temperature (C),Sunshine duration (hours),Mean Wind Speed (kt)
15-05-05,0,1009.1,30,12,16.1,9,4.6,2.9,0,21.7,15.7,21.7,12.85,5.9,4.9
16-05-05,0,1010,30,23,11,19,3.9,1.4,0.3,22.5,16.7,22.5,12.175,0.8,8.9
17-05-05,0,1011,120,19,12.2,11,0.3,2.9,0,24.8,19.4,24.8,11.525,11.4,6.5
18-05-05,0,1002.5,140,29,11,21,7.2,1.4,1.7,24.2,18.9,24.2,10.95,0,11.2
19-05-05,0,994.3,210,24,17.7,17,9.9,3,0.2,26.3,21.5,26.3,12.825,5.2,12.1
20-05-05,0,992.2,260,33,15.9,26,8.2,2.7,1.6,26.8,22.3,26.8,13.075,4.4,13
21-05-05,0,992.7,140,23,14.1,17,6.1,2.5,0.3,28.4,24.2,28.4,12.6,8.6,8.2
22-05-05,0,992.3,260,29,13,19,5.4,2,0.8,29.1,25.1,29.1,12.15,5.2,8.1
23-05-05,0,996.8,220,44,13.7,30,4.8,2.4,7.6,23.3,19.6,23.3,11.15,7,16
24-05-05,0,998,120,23,16.6,18,8.3,2.1,11.3,13.6,10.2,13.6,13,2.9,7.5
25-05-05,0,1001.2,200,34,17.8,25,10.1,1.9,3.8,11.5,8.3,11.5,13.8,0.4,14.2
26-05-05,0,1002.7,240,30,18.9,20,9.7,3.5,0.4,14.3,11.4,14.3,14.35,8,12
27-05-05,0,998.7,140,25,12.9,20,9.8,1.7,1.5,14.2,11.6,14.2,13.825,0.6,11
28-05-05,0,997.5,240,46,15.3,32,7.8,2.2,0,16.2,13.8,16.2,13.35,5.8,20.8
29-05-05,0,1008.7,240,20,15,14,6,2.7,0,18.5,16.4,18.5,12.775,8.9,8.6
30-05-05,0,1012.8,130,15,13.2,11,5.3,1.9,1.7,18.3,16.4,18.3,13.475,3,5
31-05-05,0,1013.1,120,14,14,11,7.1,1.9,1.5,18.4,16.7,18.4,13.525,3.4,6.6
01-06-05,1,1006,250,29,19.5,22,11.2,2.4,3.1,17.3,15.8,17.3,14.825,1.9,10.7
02-06-05,0,997.9,210,37,17.3,24,12.2,2.3,1.3,18,16.7,18,15.3,0.7,14.2
03-06-05,0,993.9,250,29,17.8,24,10.3,3.1,1.6,19,18,19,14.8,5.9,11.5
04-06-05,0,1000.2,260,31,16,23,9.4,2.2,0.5,20.3,19.6,20.3,14,3.3,16
05-06-05,0,1006.6,260,19,16,13,9.5,2.5,0,22.3,21.8,22.3,14.925,2.1,7.7
06-06-05,0,1015.2,80,21,15.3,16,7.9,3.1,0,24.8,24.6,24.8,15.625,11.6,8.9
07-06-05,0,1023.7,220,17,18.1,13,7,2.3,0,26.6,26.5,26.6,15.575,2.9,5.9
08-06-05,0,1025.5,110,14,19.1,10,8.3,3,0,28.9,29.1,28.9,16.15,2.6,5.7
09-06-05,0,1022.8,30,13,20,11,11.6,2.1,0,30.5,30.8,30.5,16.925,0.2,4.3
10-06-05,0,1017.1,20,17,16.8,11,8.1,3.1,0,32.7,33.2,32.7,17.35,10.7,6.2
11-06-05,0,1009.8,60,18,16.8,10,4.3,3.5,0,35.2,35.9,35.2,17.15,15.3,5.5
12-06-05,0,1003.8,320,26,15.2,17,4.8,2.4,0,36.8,37.7,36.8,16.025,5.3,9.8
13-06-05,0,999.2,280,28,16.3,22,4.5,2.9,0,38.7,39.8,38.7,14.575,9.1,14.8
14-06-05,0,995.9,240,29,15.6,20,9.4,2.4,0.1,40.2,41.4,40.2,14.975,1.6,14
15-06-05,0,996.8,200,22,20.5,16,11,3.2,2.1,40.2,41.5,40.2,16.4,6.2,10.5
16-06-05,0,1003.2,230,35,23.4,23,11.1,3.3,3.1,39.2,40.7,39.2,16.675,7,13.2
17-06-05,0,1011.8,240,29,22.4,20,17.2,2.4,0,40.7,42.3,40.7,18.2,2.1,10.1
18-06-05,0,1011,130,22,20.3,16,16,2.9,0,42.5,44.3,42.5,18.925,4.6,9.1
19-06-05,0,1006.2,260,22,21.5,15,13,3.5,0,44.7,46.6,44.7,20.1,7.9,8.7
20-06-05,0,1006.4,240,21,20.1,15,9.9,3.4,0,46.7,48.7,46.7,19.25,8.5,9.4
21-06-05,0,1007.7,240,24,20.4,17,13.4,3,0,48.4,50.6,48.4,18.95,1.8,11.1
22-06-05,0,1008.3,220,27,23.5,17,14,4.9,0,51.1,53.5,51.1,20.075,14.4,13.2
23-06-05,0,1007.1,220,18,19.9,13,11.8,2.3,0,52.3,54.7,52.3,19.125,4.8,7.3
24-06-05,0,1008.2,330,16,15.5,12,11.5,1.2,7.9,45.1,47.5,45.1,17.425,0,7.2
25-06-05,0,1014,20,22,16.5,16,11.3,2,0,46.2,48.7,46.2,16.275,0.3,9.8
26-06-05,0,1018.2,70,17,17.2,9,9.8,3.7,0,48.4,51,48.4,17.825,10.8,5.7
27-06-05,0,1014.4,80,16,19,9,5.7,3.9,0,50.5,53.3,50.5,18.9,15.4,4.4
28-06-05,0,1005.8,40,16,18.7,13,9.3,2.2,1.9,49.8,52.6,49.8,18.65,3,6.9
29-06-05,0,996.8,110,20,20.2,15,13.7,2.7,8.1,43.2,46,43.2,18.625,3.8,8
30-06-05,0,994.8,260,26,19.1,20,11.9,2.5,1.5,43.2,46.2,43.2,17.675,2.5,8.9
01-07-05,0,1000,130,17,17.7,12,9.6,2.3,0.4,44.2,47.3,44.2,17.125,2.3,7.4
02-07-05,0,1000.5,200,38,22.4,27,12.2,3.6,0.2,46.2,49.3,46.2,18.75,6,12.2
03-07-05,0,1001.8,230,27,17.7,19,9.7,2.9,2.2,45.7,48.9,45.7,16.925,1.5,11.3
04-07-05,0,1000.5,280,20,18.3,13,9.1,3.5,1.3,46.4,49.7,46.4,16.75,8.9,8.9
05-07-05,0,995.5,280,31,18.4,22,10.4,2.2,8.8,38.9,42.2,38.9,16.25,3.2,11.2
06-07-05,0,1003.2,290,31,15.9,22,9.6,2.3,0.6,39.7,43.1,39.7,15.575,3.9,13.8
07-07-05,0,1009.4,300,15,17.6,12,11,1.6,0.1,40.6,44.1,40.6,15.375,0,6.7
08-07-05,0,1012.8,110,10,20.5,8,14.5,2.3,0.6,41.5,45.1,41.5,17.475,1.1,4.4
09-07-05,0,1016.9,300,9,21,6,15.3,1.9,0.9,41.8,45.4,41.8,18.625,0,3
10-07-05,0,1021.3,120,15,24,8,14.5,4.5,0,44.6,48.3,44.6,20.9,14,4.4
11-07-05,0,1023.8,90,13,24.8,9,11.9,4.5,0,47.3,51.1,47.3,22,15.6,4.1
12-07-05,0,1021.5,90,14,24.6,11,13.1,4.1,0,49.6,53.5,49.6,22.375,14.4,5.1
13-07-05,0,1016.3,100,14,20.1,10,13.7,3.3,0,51.4,55.4,51.4,21.875,7,5.2
14-07-05,0,1008.6,260,25,22,20,15.2,3,0,53,57,53,21.25,1.6,11.7
15-07-05,0,1006.4,300,21,19.4,16,13.5,3.2,0,54.7,58.7,54.7,19.85,4,9.3
16-07-05,0,1009.5,290,14,21.7,9,9.4,3.7,0,56.5,60.6,56.5,20.625,8.4,5.6
17-07-05,0,1003.2,240,20,23.7,15,14,3.2,0,58.1,62.2,58.1,21,5.2,8.5
18-07-05,0,997.3,260,34,20.1,23,11.6,3.7,0.1,59.8,63.9,59.8,20.075,10,15.8
19-07-05,0,1004.3,260,32,19,24,10.9,3.5,0,61.4,65.5,61.4,18.55,7.9,16.5
20-07-05,0,1011.8,260,27,21.8,19,12.3,3.8,0,63,67.2,63,19.075,7.8,12.5
21-07-05,0,1013.8,290,22,22.4,16,10.6,2.9,1.2,63.1,67.2,63.1,19.575,6,8.9
22-07-05,0,1007.7,320,12,17.4,8,11,1.6,0,63.7,67.9,63.7,18.125,1.5,5.1
23-07-05,0,999,50,19,16.6,14,13,1.3,2.2,62.1,66.2,62.1,17.75,0,7.5
24-07-05,0,994,50,28,16.4,19,12.3,1.1,0.1,62.5,66.6,62.5,16.6,0,12.8
25-07-05,0,998.7,20,15,17.3,11,10.8,2.9,0,63.7,67.9,63.7,17.325,4.2,6.8
26-07-05,0,1002.2,80,13,17.8,9,9.2,3,0,65,69.2,65,18.3,8.3,5.8
27-07-05,0,1000.8,30,18,17.7,13,8.5,3.2,0,66.3,70.5,66.3,18.325,9.2,7.5
28-07-05,0,998.9,30,31,14.2,23,11.4,0.8,32.6,34,38.2,34,16.1,0,16.3
29-07-05,0,1000.8,10,25,13.2,18,11.4,0.8,24.3,10.3,14.5,10.3,14.35,0,12.4
30-07-05,0,1004.1,10,15,15,11,11.5,1.2,6.2,5.2,9.4,5.2,14.625,0,7.2
31-07-05,0,1006.5,270,15,17.4,11,11.8,1.8,1.6,5.3,9.7,5.3,15.5,0.5,6.3
01-08-05,0,1009.6,140,13,17.4,10,9.7,2.1,0.7,6.7,11.1,6.7,16,3.2,5.2
02-08-05,0,1008.7,230,25,20.8,19,8.4,2.5,0,9,13.6,9,15.8,5.3,10.1
03-08-05,0,1012.8,270,30,20.5,23,11.7,3.7,0,12.4,17.2,12.4,16.275,10.7,15.3
04-08-05,0,1011,250,25,17.6,18,12.4,1.9,2.3,11.9,16.7,11.9,15.925,0.2,11.8
05-08-05,0,1010.3,290,26,19.7,20,11.9,3.3,0,14.8,19.8,14.8,16.2,9.1,11
06-08-05,0,1012.5,270,14,17.6,11,11.3,2.1,0,16.7,21.7,16.7,16.5,0.5,7.1
07-08-05,0,1012.4,90,16,18.4,11,8.7,3.2,0,19.4,24.5,19.4,17.4,10,5.2
08-08-05,0,1011.7,110,13,22.7,11,6.1,3.2,0,22,27.3,22,18.15,9.5,4.8
09-08-05,0,1009.2,290,13,21,9,15.3,2,0,23.6,28.9,23.6,19.025,0.1,4.7
10-08-05,0,1008.3,280,16,22.5,11,13.8,2.9,0,25.9,31.2,25.9,19.75,7.1,5.7
11-08-05,0,1006.8,290,21,19.8,14,12,2.2,0,27.6,33,27.6,18.4,2.5,9.5
12-08-05,0,1007.3,280,16,17.9,12,10,2.1,0,29.1,34.6,29.1,17.275,0.3,8.2
13-08-05,0,1003.9,280,30,20,22,12,2.7,3.6,27.5,33,27.5,17.55,5.7,13.8
14-08-05,0,1011.6,280,22,19.2,17,11.2,2.4,0,29.3,34.8,29.3,17,3.2,10
15-08-05,0,1016,260,18,19.2,13,9.7,1.7,0,30.5,36.1,30.5,17.075,1.5,8
16-08-05,0,1012,140,21,22.2,16,13.7,2.6,0,32.4,38,32.4,18.275,4.5,8.4
17-08-05,0,1006.8,220,20,19.7,15,11.8,2.1,0,33.9,39.6,33.9,17.15,1.7,9
18-08-05,0,1006,310,22,18.6,14,10,1.5,7.2,27.8,33.5,27.8,17.075,0.9,6.4
19-08-05,0,1010.6,300,25,18.6,17,9,2.4,0.3,29.3,35,29.3,16,7.6,10.9
20-08-05,0,1015,300,16,20,13,11.1,3.1,0,31.5,37.3,31.5,16.8,12.2,6.8
21-08-05,0,1011.1,260,28,21.8,22,11.2,1.8,2.5,30.3,36.1,30.3,17.325,1.4,9.3
22-08-05,0,1009.4,320,24,19.4,15,10.2,2.9,0.6,31.8,37.7,31.8,17.175,12.8,10.8
23-08-05,0,1002.3,240,38,18.7,24,9.9,1.8,1.2,31.9,37.7,31.9,15.75,2.8,15.3
24-08-05,0,991.5,200,38,17.9,26,9.3,2.1,3.1,30.3,36.1,30.3,15.875,7.6,14.7
25-08-05,0,995.3,270,33,16.7,22,8.3,2.8,2.1,30.2,36.1,30.2,14.025,8.6,13.5
26-08-05,0,1001.7,260,27,17.1,21,8.6,2,0.1,31.5,37.4,31.5,13.675,0.9,12.1
27-08-05,0,1005.4,230,15,18.8,10,11.3,2,0,32.9,38.9,32.9,15.325,1,7
28-08-05,0,1005.7,220,35,21.5,24,14.3,2.5,0,34.7,40.7,34.7,16.9,5.2,16.3
29-08-05,0,1009.4,220,33,20.2,23,10.7,2.5,1.8,34.6,40.6,34.6,17.525,9.4,9.5
30-08-05,0,1009.9,100,22,22.8,16,9.2,2.1,0,36,42,36,17.1,3.4,6.1
31-08-05,0,999.7,280,18,20.5,14,13.9,1.6,0.5,36.6,42.6,36.6,17.45,0.9,8.7
01-09-05,0,1004.3,280,19,18.7,14,8.9,2.2,0,38.1,44.1,38.1,16.975,5.6,8.5
02-09-05,0,1013.8,140,27,19.7,17,8.4,2.1,0,39.4,45.5,39.4,15.775,6.9,7.3
03-09-05,0,1013.9,150,31,20.9,23,11.3,2.3,0.1,40.8,46.9,40.8,16.25,6.6,11.4
04-09-05,0,1007.5,130,21,20.2,17,15.2,1.6,4.5,37.3,43.4,37.3,16.875,0.7,9.1
05-09-05,0,1002.5,130,16,19.8,12,9.5,2.2,0.1,38.7,44.8,38.7,17.6,10.8,5
06-09-05,0,999,140,19,21.3,14,7.8,2.3,0,40.2,46.3,40.2,16.675,9.9,6.5
07-09-05,0,996.1,210,28,20.9,19,14.6,2.1,0.1,41.4,47.5,41.4,17.175,1.8,12.7
08-09-05,0,998.8,250,28,18,21,13.4,1.7,0.7,41.7,47.9,41.7,17.175,2.1,7.8
09-09-05,0,1000.5,80,23,15,17,12.9,0.6,17.5,24.6,30.7,24.6,15.75,0,12.1
10-09-05,0,1005.1,30,21,15.5,16,13.5,0.9,0,25.3,31.5,25.3,15.325,0,10.8
11-09-05,0,1010.1,20,16,18.5,10,9.5,1.9,0,26.8,33,26.8,15.7,8.2,5.6
12-09-05,0,1012.3,230,17,18.9,11,6.9,1.9,0,28.2,34.4,28.2,15.625,10.4,5.2
13-09-05,0,1008.5,220,35,20.8,25,14,2.3,0.3,29.7,35.9,29.7,16.35,5.7,16.8
14-09-05,0,1009.3,250,24,19.4,18,11.8,1.5,0.1,30.7,36.9,30.7,16.4,4.7,10.6
15-09-05,0,1007,40,24,14.8,18,8,0.8,14,17.3,23.5,17.3,15.15,0,9
16-09-05,0,1014.3,10,21,13.1,15,5.2,1.4,1.3,17.1,23.4,17.1,12.675,4.4,8.8
17-09-05,0,1017.7,260,25,15.4,18,4,1.6,0,18.4,24.7,18.4,12.1,4.1,10.9
18-09-05,0,1015.6,210,19,16.8,14,10.8,2.2,0,20.2,26.6,20.2,13.95,7.2,9.2
19-09-05,0,1011,220,31,16.8,23,11.3,1.3,0.7,20.6,27,20.6,13.4,1.4,12.4
20-09-05,0,1013.3,260,12,16.8,10,9.2,1.5,0.2,21.6,28,21.6,13.7,1.2,5.8
21-09-05,0,1008.3,190,30,20.8,20,11.3,2.3,0,23.4,29.9,23.4,14.35,1.4,12.7
22-09-05,0,999.8,190,27,19.8,20,13.3,1.8,0,24.9,31.3,24.9,15.15,1.5,12
23-09-05,0,1001.5,260,31,18.1,25,4.1,1.5,1.4,24.7,31.1,24.7,14.525,7.1,13.8
24-09-05,0,1000.8,140,27,15.6,20,2.3,1.1,5.1,20.4,26.9,20.4,11.6,1.7,10
25-09-05,0,997,260,28,17,21,10,1.7,0.7,21.1,27.6,21.1,13,7.2,12.8
26-09-05,0,996.5,200,41,18.5,26,10,1.4,4.5,17.7,24.3,17.7,12.875,0,14.8
27-09-05,0,1000.2,230,38,15.5,25,6.9,1.8,0.1,19.1,25.7,19.1,12.175,7.1,16.7
28-09-05,0,1001.4,230,38,14.6,25,6.8,1.3,1.5,18.7,25.3,18.7,10.925,2.2,15.2
29-09-05,0,1006.2,230,30,15.8,22,6.2,0.9,1.9,17.6,24.2,17.6,10.575,1.8,12.9
30-09-05,0,1001,260,35,19.4,26,9.5,1.5,1,17.9,24.5,17.9,13.575,3.7,17.4
01-10-05,0,1007.9,270,35,14,25,7.8,1.4,0.4,18.7,25.3,18.7,11.425,7.3,16.5
02-10-05,0,1017.8,280,24,14.3,17,7.7,1.3,0,19.7,26.4,19.7,11.2,1.5,9.8
03-10-05,0,1021.2,240,12,13,10,10.1,1.2,0,20.7,27.4,20.7,11.8,0,6.1
04-10-05,0,1020.4,160,15,13.7,10,9.8,1.2,0,21.7,28.4,21.7,11.775,0,5.5
05-10-05,0,1018.2,210,15,15.7,10,7.1,1.4,0,22.8,29.5,22.8,12.475,6.4,5.2
06-10-05,0,1012.8,150,21,16.6,14,5.1,1,0,23.6,30.4,23.6,11.825,1.3,6.8
07-10-05,0,1003.2,200,29,18,20,13,1.7,0,25,31.7,25,13.275,2.2,11.2
08-10-05,0,1001.4,260,25,15.8,20,7,1.3,2.6,23.3,30.1,23.3,12.475,8.3,12
09-10-05,0,1001.9,210,38,14.6,24,7.1,1.6,0,24.6,31.4,24.6,10.525,0.1,16.2
10-10-05,0,995.6,200,37,18.1,25,8.3,1.1,6.2,19.2,26.1,19.2,12.75,0,15.2
11-10-05,0,998.5,300,16,9.5,11,7.6,0.5,15,4.7,11.5,4.7,11.15,0,7
12-10-05,0,1001.3,290,17,12.4,12,6.4,0.9,0.8,4.8,11.6,4.8,10.675,1.3,8.6
13-10-05,0,1011.5,290,15,13.2,12,1.9,1.1,0,5.8,12.7,5.8,9.425,9.7,6.6
14-10-05,0,1015.7,130,27,13.6,20,1.2,0.4,0.1,6.1,13,6.1,9.125,2.9,10.2
15-10-05,0,1013,140,28,16.1,19,11.4,1,0.2,6.8,13.7,6.8,12.05,5.8,13
16-10-05,0,1009.5,110,13,15.6,11,9,0.6,0.1,7.3,14.2,7.3,11.675,1.4,5.4
17-10-05,1,1007.3,140,23,16.8,16,11.1,0.8,0.4,7.7,14.6,7.7,12.3,3.2,8.5
18-10-05,0,1001.9,120,23,13.4,17,10.9,0.7,0.8,7.5,14.4,7.5,12.25,0,10.4
19-10-05,0,994.1,260,16,13.6,11,9,0.5,10.2,-2.2,4.8,0,11.875,0.8,5
20-10-05,0,989.7,220,24,13.7,18,7.9,1,6,-5,-0.3,0,10.75,7.2,11
21-10-05,0,981.8,110,28,13.9,21,7.8,0.6,11.4,-10,-10,0,11.125,0.2,12
22-10-05,0,991.1,270,13,12.8,11,5.5,0.6,0,0.6,-8.9,0.6,10.325,4.3,6.7
23-10-05,0,996.8,120,30,13.6,21,7.2,0.5,15,-10,-10,0,10.65,4.9,8.8
24-10-05,0,987.6,140,36,17.3,23,9.9,0.8,14.3,-10,-10,0,12.525,0.1,13.3
25-10-05,0,987.5,230,37,13.3,27,8.5,0.9,4.4,-3.5,-10,0,11.05,3.4,16.2
26-10-05,0,993.3,170,31,19.9,21,10.4,1.2,0.3,0.9,-8.6,0.9,11.6,0.7,11
27-10-05,0,988.4,170,38,17.8,25,14.4,1.6,0,2.5,-6.5,2.5,13.05,6,17.9
28-10-05,0,989.8,190,32,16,19,8.5,1,0.5,3,-5.7,3,12.525,1.7,11.2
29-10-05,0,987.2,150,42,15.5,29,8.2,0.6,6.1,-2.5,-10,0,11.525,0,16
30-10-05,0,984.8,190,37,16,25,10.2,1,1,0,-9.5,0,12.4,5.4,14.6
31-10-05,0,987.7,160,29,14.5,20,6.1,0.9,6,-5.1,-10,0,10.95,1,11.7
01-11-05,0,990.5,140,33,12,24,5.5,0.7,4.8,-4.1,-10,0,8.925,6.8,12.9
02-11-05,0,981.4,100,34,17.6,24,9.9,0.9,3.3,-2.4,-10,0,10.825,4.3,10.7
03-11-05,0,982,260,36,14.7,26,8.1,0.6,6.7,-6.1,-10,0,11.875,1.2,14.5
04-11-05,0,998,260,33,9.5,24,4.9,0.8,4.3,-3.5,-10,0,9.45,3.2,17.2
05-11-05,0,999.7,220,31,13.3,22,4.8,0.5,1.4,-0.9,-10,0,8.825,3.2,8.6
06-11-05,0,994.1,240,33,13.2,24,7.2,0.9,1.8,-0.9,-10,0,9.475,4.2,14.2
07-11-05,0,994.4,240,45,12.6,34,6,0.9,6.3,-5.4,-10,0,8.2,3.3,16.9
08-11-05,0,998.1,210,19,9.2,13,4.2,0.6,8.8,-8.2,-10,0,8.15,0.3,7.8
09-11-05,0,1008,210,35,12.2,22,3,0.5,1,-0.5,-10,0,6.725,6.1,13.6
10-11-05,0,1010.6,230,33,14.2,23,11.1,0.6,4.4,-3.8,-10,0,9.95,0,13.8
11-11-05,0,1000.7,250,47,14.4,33,3.8,0.7,0.9,-0.2,-9.7,0,10,2.6,21.8
12-11-05,0,1004.2,240,29,9.8,22,3.1,0.6,0,0.6,-8.6,0.6,7.2,5.7,12.8
13-11-05,0,1018.3,300,20,8.4,15,1.7,0.4,0,1,-7.7,1,5.725,7.6,8.5
14-11-05,0,1013.8,250,33,11.1,26,3.3,0.4,0,1.5,-6.9,1.5,6.425,0,16.5
15-11-05,0,1004.5,260,27,11.9,21,5.9,0.4,0.1,1.8,-6.2,1.8,8.425,0.2,10.8
16-11-05,0,1004.4,320,23,7.1,14,0.5,0.3,0,2.1,-5.6,2.1,6.525,1.5,8.3
17-11-05,0,1007.4,130,13,8.5,10,-2.4,0.2,0,2.3,-5.1,2.3,4.45,6.2,4.2
18-11-05,0,1013.5,140,28,10.3,18,4.9,0.7,0,3,-4.2,3,6.125,1.4,10.5
19-11-05,0,1020.2,140,11,10.6,8,-1.1,0.1,0,3.1,-3.9,3.1,4.75,6.3,2.4
20-11-05,0,1022.7,290,8,10.7,6,-1.3,0.1,0,3.2,-3.5,3.2,3.575,6.8,2.6
21-11-05,0,1024.1,140,17,10.1,9,-3.1,0.1,0,3.3,-3.2,3.3,3.15,7.7,4.4
22-11-05,0,1027.6,100,8,8.1,5,-3.4,0,0,3.3,-3.1,3.3,2.925,6.9,2.8
23-11-05,0,1026.7,260,18,6.6,15,3.1,0.3,0,3.6,-2.7,3.6,4.6,0,8.5
24-11-05,0,1011.8,330,43,9.5,27,0,0.4,0.3,3.6,-2.4,3.6,5.45,0.1,17.2
25-11-05,0,994,330,43,5.6,30,-0.7,0.6,0.8,3.4,-2.5,3.4,3.475,0.2,19.6
26-11-05,0,991.8,340,31,7.9,18,4.4,0.8,0,4.2,-1.6,4.2,4.45,3.9,13.7
27-11-05,0,993.7,280,18,5.6,13,0.6,0.2,0,4.4,-1.3,4.4,3.85,0.9,9.4
28-11-05,0,996.7,330,26,4.8,18,-1.2,0.2,0,4.6,-1,4.6,2.975,6.8,11.1
29-11-05,0,998.9,250,16,5.2,12,-1,0.2,1.6,3.2,-2.4,3.2,2.975,0.1,6.5
30-11-05,0,991,200,19,9.8,13,4.2,0.3,0.2,3.3,-2.1,3.3,4.95,0.1,8.4
01-12-05,0,976.2,70,27,10.1,20,2.2,0.4,11.6,-7.9,-10,0,5.725,0.1,9.4
02-12-05,0,965,90,33,8.9,23,3.6,0.3,21.4,-10,-10,0,5.65,0,7.6
03-12-05,0,972.6,260,20,7.4,15,3.6,0.2,10.9,-10,-10,0,5.4,0.7,11
04-12-05,0,981.8,280,26,8,20,3.1,0.3,1.4,-1.1,-10,0,5.725,1.4,13.8
05-12-05,0,990,270,26,6.1,20,2.7,0.4,0.1,0.3,-9.2,0.3,4.3,4.2,15.6
06-12-05,0,999.5,300,15,8,11,0,0.2,0,0.5,-8.5,0.5,4.25,2.6,7.1
07-12-05,0,997.2,300,36,8.5,27,-2.3,0.2,14.5,-10,-10,0,3.575,0,11.4
08-12-05,0,1007,280,25,6.9,18,1.8,0.2,1.4,-1.2,-10,0,4.45,0.7,7.8
09-12-05,0,1019.3,160,16,13.4,11,5.7,0.2,0.5,-0.3,-9.8,0,6.325,0.6,5.9
10-12-05,0,1024.4,220,26,12.5,18,10.2,0.6,0,0.6,-8.7,0.6,8.225,0.1,11.6
11-12-05,0,1028.6,220,25,10.6,16,5.6,0.3,0,0.9,-7.9,0.9,7.25,5.3,9.5
12-12-05,0,1032.8,50,14,8.2,10,-1.6,0,0,0.9,-7.5,0.9,4.95,6.2,5.8
13-12-05,0,1031.4,260,22,5.2,18,-1.9,0,0,0.9,-7.2,0.9,2.775,0.6,9.3
14-12-05,0,1026.1,280,17,9.1,14,4.8,0.2,0,1.1,-6.6,1.1,5.125,0.3,8.9
15-12-05,0,1016.8,270,35,10.9,27,7.6,0.4,0,1.5,-5.9,1.5,6.65,3,15
16-12-05,0,1010,270,35,11.1,27,4.1,0.3,0.2,1.5,-5.5,1.5,7.4,2.1,14.8
17-12-05,0,1015.5,290,13,5.7,10,-1.1,0.1,0,1.6,-5.2,1.6,5.3,1.4,6.3
18-12-05,0,1009.2,230,29,9.1,20,-1.5,0.2,1.4,0.4,-6.1,0.4,4.15,0,9.9
19-12-05,0,1012.2,260,15,7.8,12,3.2,0.4,0,0.9,-5.4,0.9,4.95,1,7.2
20-12-05,0,1015.8,200,18,10.6,13,4.1,0.4,0,1.3,-4.7,1.3,5.35,1.5,8.4
21-12-05,0,1016,220,31,10,21,3.7,0.2,0.6,0.9,-4.8,0.9,6.55,0.2,9
22-12-05,0,1015.5,210,26,10.2,18,8.3,0.9,0,1.8,-3.7,1.8,6.625,0,12.9
23-12-05,0,1013.3,230,30,11.1,20,8.3,0.7,0,2.5,-2.8,2.5,7.125,0.8,13
24-12-05,0,1016.2,230,13,9.4,10,1.4,0.2,0,2.7,-2.4,2.7,7.4,0,5.1
25-12-05,0,1018.2,90,11,8.7,8,1.3,0,0,2.7,-2.3,2.7,5.675,5,4.8
26-12-05,0,1014.6,30,16,6,12,3.4,0.4,0.5,2.6,-2.2,2.6,5.125,0,5.5
27-12-05,0,1010.3,80,21,5.2,16,1,0.6,0.8,2.4,-2.4,2.4,4.3,0.1,6.3
28-12-05,0,1008.7,140,14,4.4,10,-2.7,0.1,0.7,1.8,-2.9,1.8,2.525,4.3,4.3
29-12-05,0,997.8,150,32,7.5,24,-0.7,0.5,1.9,0.4,-4.1,0.4,2.325,0,13
30-12-05,0,982.3,240,33,10.7,24,5.3,0.4,4.8,-4,-8.3,0,5.475,2.3,15.4
31-12-05,0,981.2,230,32,7.5,23,4.8,0.5,0.3,0.2,-7.7,0.2,4.925,0.9,17.5
01-01-06,0,998.2,290,28,7.9,22,1.8,0.3,0,0.5,-7,0.5,4.7,1.5,13.2
02-01-06,0,1012.2,220,21,10.5,14,0.8,0.3,0,0.8,-6.3,0.8,3.9,0,7.8
03-01-06,0,1016.2,220,23,10.9,16,-0.5,0,0.3,0.5,-6.3,0.5,5.925,4.6,6
04-01-06,0,1018.1,150,20,7.9,14,-1.5,0.1,0,0.6,-5.9,0.6,3.525,5.6,6.7
05-01-06,0,1010.3,140,27,6.5,21,3.4,1,0.2,1.4,-4.8,1.4,4.125,0,13.5
06-01-06,0,1011.3,120,18,4.6,13,2.2,0.4,0.1,1.7,-4.2,1.7,3.825,0.1,3.8
07-01-06,0,1013.7,140,12,4.3,8,1.9,0.5,0,2.2,-3.5,2.2,3.475,0,2.5
08-01-06,0,1014.8,140,20,6.1,15,-2.1,0.2,2.9,-0.4,-6,0,3.65,2.6,5.8
09-01-06,0,1010.3,210,31,10.2,21,-3.8,0.4,0.6,-0.2,-5.9,0,2.4,0.3,9.5
10-01-06,0,998.4,220,37,12.7,26,7.9,0.6,6.2,-5.6,-10,0,6.35,0,17.8
11-01-06,0,1003.2,260,40,8.5,29,4,0.4,0.2,0.2,-9.3,0.2,5.45,6.7,15.1
12-01-06,0,1007.1,190,38,12.5,27,5,1.3,0,1.5,-7.5,1.5,5.375,0.1,18.1
13-01-06,0,998.8,170,36,11.6,22,7.8,0.8,0.3,2,-6.6,2,7.25,0,13.3
14-01-06,0,1002.7,160,29,8.1,20,1.4,0.2,0,2.2,-6.1,2.2,5.225,6.6,9.6
15-01-06,0,995.4,150,32,9.1,23,7.1,0.7,2.5,0.4,-7.6,0.4,5.75,0,14.2
16-01-06,0,992.2,230,27,8,18,3.1,0.5,0.8,0.1,-7.5,0.1,5.4,0.1,11
